epoch,ViT,ResNet,ConvNeXt
1.8900000000000001,81.629,,
3.77,82.1258,,
5.66,82.5538,,
7.55,81.6467,,
9.43,82.0899,,
11.32,82.3168,,
13.21,81.0784,,
15.09,81.7894,,
16.98,82.0583,,
18.87,81.7284,,
20.75,81.7787,,
22.64,82.2181,,
24.53,81.8484,,
26.42,81.9423,,
28.3,81.9195,,
30.19,82.2578,,
32.08,83.7971,,
33.96,82.1636,,
35.85,81.4016,,
37.74,81.6974,,
39.62,82.1201,,
41.51,82.0074,,
43.4,81.773,,
45.28,82.0597,,
47.17,82.5393,,
49.06,81.6197,,
50.94,79.7403,,
52.83,83.866,,
54.72,81.8612,,
1.8900000000000001,,17.9906,
3.77,,17.9169,
5.66,,17.8885,
7.55,,17.8549,
9.43,,17.8977,
11.32,,17.8465,
13.21,,17.8973,
15.09,,17.7568,
16.98,,17.9137,
18.87,,17.847,
20.75,,17.7395,
22.64,,19.1887,
24.53,,17.8012,
26.42,,17.6436,
28.3,,17.6837,
30.19,,17.738,
32.08,,17.7139,
33.96,,17.8977,
35.85,,17.7166,
37.74,,17.7653,
39.62,,17.7241,
41.51,,17.7472,
43.4,,17.7045,
45.28,,17.6393,
47.17,,17.6912,
49.06,,19.6371,
50.94,,17.6079,
52.83,,17.7539,
54.72,,17.6811,
56.6,,17.9976,
58.49,,17.7306,
60.38,,17.7155,
62.26,,17.7227,
64.15,,17.7624,
66.04,,17.7865,
67.92,,17.7285,
69.81,,17.6874,
71.7,,17.6985,
73.58,,17.7069,
75.47,,17.8286,
77.36,,17.761400000000002,
79.25,,17.721,
81.13,,17.8699,
83.02,,17.6475,
1.8900000000000001,,,81.7597
3.77,,,81.6388
5.66,,,81.7651
7.55,,,81.7417
9.43,,,84.8407
11.32,,,83.5062
13.21,,,82.1253
15.09,,,82.1938
16.98,,,82.1858
18.87,,,82.3387
20.75,,,82.0009
22.64,,,82.1378
24.53,,,82.1904
26.42,,,83.424
28.3,,,81.9404
30.19,,,81.7694
32.08,,,81.9045
33.96,,,81.7535
35.85,,,82.3572
37.74,,,82.1032
39.62,,,81.9346
41.51,,,82.2485
43.4,,,81.8651
45.28,,,82.0699
47.17,,,81.797
49.06,,,82.2315
50.94,,,82.5354
52.83,,,81.793
54.72,,,81.8684
56.6,,,82.0133
58.49,,,83.4747
60.38,,,81.9056
62.26,,,81.95
64.15,,,81.9211
66.04,,,81.9484
67.92,,,82.2965
69.81,,,81.8494
71.7,,,81.9934
73.58,,,81.9946
75.47,,,81.8047
77.36,,,82.0238
79.25,,,82.2132
81.13,,,81.9653
83.02,,,82.1106
84.91,,,82.197
86.79,,,82.1485
88.68,,,82.42
90.57,,,81.9463
92.45,,,82.2801
94.34,,,82.4279
96.23,,,82.2069
98.11,,,82.1318
100.0,,,82.4224
